,customerid,recency,frequency,monetary,avg_order_value,total_items,items_per_order
0,12346,326,0.6931471805599453,11.253955234248428,11.253955234248428,11.214735039333107,74215.0
1,12347,2,2.0794415416798357,8.368925174747135,6.424405846500164,7.807510042216193,351.14285714285717
2,12348,75,1.6094379124341003,7.494563687769957,6.109936234478222,7.758760544157663,585.25
3,12349,19,0.6931471805599453,7.472244884833674,7.472244884833674,6.448889394146858,631.0
4,12350,310,0.6931471805599453,5.815323849389109,5.815323849389109,5.288267030694535,197.0
5,12352,36,2.1972245773362196,7.826858053356098,5.750204758242745,6.285998094508865,67.0
6,12353,204,0.6931471805599453,4.499809670330265,4.499809670330265,3.044522437723423,20.0
7,12354,232,0.6931471805599453,6.985086621918461,6.985086621918461,6.274762021241939,530.0
8,12355,214,0.6931471805599453,6.132095676847728,6.132095676847728,5.484796933490655,240.0
9,12356,23,1.3862943611198906,7.941804157314053,6.8439027447239775,7.3727463664043285,530.3333333333334
10,12357,33,0.6931471805599453,8.733701981297274,8.733701981297274,7.904334842085095,2708.0
11,12358,2,1.0986122886681098,7.063955286074528,6.371663127968259,5.517452896464707,124.0
12,12359,58,1.6094379124341003,8.750054175177759,7.364235059332973,7.383989457978509,402.25
13,12360,52,1.3862943611198906,7.887231116540211,6.789369561749692,7.061334366910438,388.3333333333333
14,12361,287,0.6931471805599453,5.251749730731702,5.251749730731702,4.5217885770490405,91.0
15,12362,3,2.3978952727983707,8.56163678004062,6.260771959732571,7.709756864454165,222.9
16,12363,110,1.0986122886681098,6.315358001522335,5.6240175061873385,6.013715156042802,204.0
17,12364,8,1.6094379124341003,7.180907299649593,5.79689326788511,7.317876198626496,376.5
18,12365,291,1.0986122886681098,6.465180028897591,5.773588348900164,5.1647859739235145,87.0
19,12367,4,0.6931471805599453,5.135210028677887,5.135210028677887,5.159055299214529,173.0
20,12370,51,1.6094379124341003,8.172712169921061,6.787264204897337,7.763446388727362,588.0
21,12371,45,1.0986122886681098,7.543781692052325,6.851163763248618,6.3835066348840055,295.5
22,12372,72,1.3862943611198906,7.169380809114136,6.072306934952083,6.678342114654332,264.6666666666667
23,12373,311,0.6931471805599453,5.901539839579995,5.901539839579995,5.288267030694535,197.0
24,12374,25,0.6931471805599453,6.6119469443852195,6.6119469443852195,5.8377304471659395,342.0
25,12375,11,1.0986122886681098,6.127960291696519,5.436991761235796,5.187385805840755,89.0
26,12377,315,1.0986122886681098,7.395795270713971,6.703261730162972,6.851184927493743,472.0
27,12378,130,0.6931471805599453,8.29645175271804,8.29645175271804,7.835974581721566,2529.0
28,12379,82,1.0986122886681098,6.749040867823617,6.057065004191931,6.0112671744041615,203.5
29,12380,22,1.6094379124341003,7.910520910634419,6.525326534592313,7.028201432058005,281.75
30,12381,5,1.791759469228055,7.520944331624911,5.9136705591679615,6.695798917058491,161.6
31,12383,185,1.791759469228055,7.523783805985769,5.916503903841239,7.334981878871814,306.4
32,12384,29,1.0986122886681098,6.373780434317173,5.6823374994447,4.844187086458591,63.0
33,12386,338,1.0986122886681098,5.998688392197302,5.308020142009422,5.872117789475416,177.0
34,12388,16,1.9459101490553132,7.930803150780257,6.140839555835224,7.288244401020124,243.66666666666666
35,12390,80,0.6931471805599453,6.311444385858925,6.311444385858925,5.869296913133774,353.0
